class,seed,pretrain_seed,method,auroc,auprc
class_AED,49,2,finlayson_concat,0.6066666666666667,0.06986622539834925
class_AED,50,0,finlayson_structure,0.4811111111111111,0.04535074361334717
class_AED,50,0,finlayson_expression,0.5988888888888888,0.11130098886068157
class_AED,50,0,finlayson_concat,0.5044444444444445,0.07762637263767846
class_AED,50,1,finlayson_structure,0.6633333333333334,0.09362579470338092
class_AED,50,1,finlayson_expression,0.5811111111111111,0.07594784030336793
class_AED,50,1,finlayson_concat,0.6433333333333333,0.0794658961973381
class_AED,50,2,finlayson_structure,0.7166666666666666,0.09577008151158675
class_AED,50,2,finlayson_expression,0.6344444444444444,0.1103935610083151
class_AED,50,2,finlayson_concat,0.6722222222222223,0.08002698554169141
class_AED,51,0,finlayson_structure,0.47444444444444445,0.040275477781337964
class_AED,51,0,finlayson_expression,0.6033333333333333,0.06643022464722206
class_AED,51,0,finlayson_concat,0.5444444444444445,0.04827727978134483
class_AED,51,1,finlayson_structure,0.6788888888888889,0.22353261003215355
class_AED,51,1,finlayson_expression,0.5744444444444444,0.05037905400496854
class_AED,51,1,finlayson_concat,0.6488888888888888,0.07731134014138036
class_AED,51,2,finlayson_structure,0.6799999999999999,0.08082661531946433
class_AED,51,2,finlayson_expression,0.5133333333333333,0.04386587534881538
class_AED,51,2,finlayson_concat,0.6077777777777778,0.05879809534470552
class_Statin,42,0,finlayson_structure,0.9533333333333333,0.5625
class_Statin,42,0,finlayson_expression,0.9666666666666667,0.5833333333333334
class_Statin,42,0,finlayson_concat,0.9633333333333333,0.5769230769230769
class_Statin,42,1,finlayson_structure,0.9733333333333334,0.3611111111111111
class_Statin,42,1,finlayson_expression,0.9600000000000001,0.5714285714285714
class_Statin,42,1,finlayson_concat,0.9733333333333334,0.3611111111111111
class_Statin,42,2,finlayson_structure,0.9366666666666666,0.3
class_Statin,42,2,finlayson_expression,0.9533333333333334,0.31666666666666665
class_Statin,42,2,finlayson_concat,0.9666666666666666,0.34090909090909094
class_Statin,43,0,finlayson_structure,0.9933333333333334,0.75
class_Statin,43,0,finlayson_expression,0.8066666666666666,0.5166666666666667
class_Statin,43,0,finlayson_concat,0.9733333333333333,0.6
class_Statin,43,1,finlayson_structure,0.8966666666666667,0.5303030303030303
class_Statin,43,1,finlayson_expression,0.7733333333333333,0.5142857142857142
class_Statin,43,1,finlayson_concat,0.84,0.52
class_Statin,43,2,finlayson_structure,0.8566666666666667,0.2727272727272727
class_Statin,43,2,finlayson_expression,0.6866666666666666,0.135752688172043
class_Statin,43,2,finlayson_concat,0.8233333333333334,0.2685185185185185
class_Statin,44,0,finlayson_structure,0.9933333333333334,0.75
class_Statin,44,0,finlayson_expression,0.8933333333333333,0.5294117647058824
class_Statin,44,0,finlayson_concat,0.9866666666666667,0.6666666666666666
class_Statin,44,1,finlayson_structure,0.9466666666666667,0.5555555555555556
class_Statin,44,1,finlayson_expression,0.8733333333333333,0.525
class_Statin,44,1,finlayson_concat,0.9466666666666667,0.5555555555555556
class_Statin,44,2,finlayson_structure,0.88,0.5263157894736842
class_Statin,44,2,finlayson_expression,0.8133333333333334,0.5172413793103449
class_Statin,44,2,finlayson_concat,0.86,0.5227272727272727
class_Statin,45,0,finlayson_structure,0.9366666666666666,0.5476190476190477
