class,mode,pretrain_seed,view,auroc,auprc
class_Antipsychotic,positive,2,concat,0.39999999999999997,0.01639344262295082
class_Antipsychotic,exclude,0,structure,0.5433333333333333,0.020815811606391926
class_Antipsychotic,exclude,0,expression,0.48333333333333334,0.0184640522875817
class_Antipsychotic,exclude,0,concat,0.5566666666666666,0.021441202475685234
class_Antipsychotic,exclude,1,structure,0.5666666666666667,0.031736281736281735
class_Antipsychotic,exclude,1,expression,0.39333333333333337,0.015773809523809523
class_Antipsychotic,exclude,1,concat,0.54,0.022866632600919774
class_Antipsychotic,exclude,2,structure,0.5733333333333334,0.022642390289449112
class_Antipsychotic,exclude,2,expression,0.5033333333333333,0.019444444444444445
class_Antipsychotic,exclude,2,concat,0.5733333333333334,0.022642390289449112
