se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain,family
Cardiac arrest,105,0.196629213483146,0.5553113553113553,0.5311133311133311,0.5413475413475413,-0.0241980241980241,-0.013963813963814,other
Cardiac disorder,213,0.398876404494382,0.5926608456554489,0.4993930352624574,0.5213753967209279,-0.0932678103929914,-0.0712854489345209,other
Cardiac failure,115,0.2153558052434457,0.5429905572273529,0.4780533361004461,0.4821832520493929,-0.0649372211269067,-0.0608073051779599,other
Cardiac failure congestive,101,0.1891385767790262,0.6355383806279011,0.5384263599570118,0.6077561566780235,-0.0971120206708893,-0.0277822239498776,other
Cardiomyopathy,36,0.0674157303370786,0.6420124944221329,0.3941878625613565,0.6212070504239179,-0.2478246318607764,-0.020805443998215,other
Cardiovascular disorder,59,0.1104868913857678,0.5349152542372881,0.4630865298840321,0.4911685994647635,-0.071828724353256,-0.0437466547725245,other
Cataract,75,0.1404494382022472,0.5936092955700799,0.5165722585330429,0.5305446623093683,-0.077037037037037,-0.0630646332607116,other
Cellulitis,66,0.1235955056179775,0.6427738927738927,0.4441530691530692,0.5486920486920487,-0.1986208236208235,-0.094081844081844,other
Cerebral haemorrhage,42,0.0786516853932584,0.5269066976384049,0.5459252806813782,0.5435540069686411,0.0190185830429733,0.0166473093302361,other
Cerebral ischaemia,37,0.0692883895131086,0.6138452335635435,0.4340094621784762,0.5231388329979879,-0.1798357713850672,-0.0907064005655555,other
Cerebrovascular accident,122,0.2284644194756554,0.6583041540665289,0.5643402833041541,0.5965303199108705,-0.0939638707623747,-0.0617738341556584,other
Cerebrovascular disorder,28,0.0524344569288389,0.4680265386787126,0.4833427442123094,0.4510869565217391,0.0153162055335968,-0.0169395821569734,other
Cheilitis,28,0.0524344569288389,0.661420101637493,0.5044466403162056,0.6180124223602484,-0.1569734613212874,-0.0434076792772445,other
Chest discomfort,49,0.0917602996254681,0.5553124342520513,0.5357037660424995,0.5287187039764358,-0.0196086682095518,-0.0265937302756155,other
Chest pain,243,0.4550561797752809,0.5845601233153734,0.5273570630577121,0.544369493586752,-0.0572030602576613,-0.0401906297286214,other
Chills,196,0.3670411985018726,0.6046069315300084,0.552348750150948,0.5761381475667191,-0.0522581813790604,-0.0284687839632893,other
Cholecystitis,40,0.0749063670411985,0.4131072874493927,0.4858299595141701,0.4229757085020243,0.0727226720647773,0.0098684210526315,other
Cholelithiasis,45,0.0842696629213483,0.6200863440127243,0.5549193365144285,0.5522835719154737,-0.0651670074982958,-0.0678027720972506,other
Cholestasis,54,0.1011235955056179,0.5823688271604938,0.5304783950617284,0.5673996913580248,-0.0518904320987653,-0.0149691358024689,other
Coagulopathy,41,0.0767790262172284,0.5697323504675209,0.5431158165537031,0.5819027358630583,-0.0266165339138177,0.0121703853955373,other
Cognitive disorder,28,0.0524344569288389,0.641304347826087,0.5982495765104461,0.629305477131564,-0.0430547713156409,-0.0119988706945229,other
Colitis,78,0.146067415730337,0.5257816014394961,0.4719410706252811,0.4731781376518218,-0.053840530814215,-0.0526034637876743,other
Coma,71,0.1329588014981273,0.5444589784929882,0.4545979983573145,0.4761050101907341,-0.0898609801356736,-0.0683539683022541,other
Completed suicide,46,0.0861423220973782,0.6801496792587314,0.527931218816821,0.6378296507483964,-0.1522184604419103,-0.042320028510335,other
Confusional state,240,0.449438202247191,0.5813066893424036,0.5640022675736962,0.5755243764172335,-0.0173044217687073,-0.00578231292517,other
Conjunctival hyperaemia,27,0.0505617977528089,0.6028197823069618,0.5679742859230039,0.6278033457520636,-0.0348454963839578,0.0249835634451018,other
Conjunctivitis,155,0.2902621722846442,0.5736658439016087,0.5237552132096348,0.5246063494765512,-0.0499106306919738,-0.0490594944250575,other
Connective tissue disorder,203,0.3801498127340824,0.5453693093030524,0.5183575670084681,0.5259476433557067,-0.0270117422945842,-0.0194216659473457,other
Constipation,326,0.6104868913857678,0.651648773006135,0.52886090136857,0.565965667767815,-0.122787871637565,-0.08568310523832,other
Contusion,67,0.1254681647940075,0.5278532391575314,0.4800728690594138,0.5056729201955958,-0.0477803700981175,-0.0221803189619355,other
Convulsion,211,0.3951310861423221,0.6047716168033689,0.5025457426672341,0.5217378545331828,-0.1022258741361348,-0.0830337622701861,other
Coordination abnormal,83,0.1554307116104868,0.6580290118344776,0.5059172387999893,0.5905751609542382,-0.1521117730344883,-0.0674538508802393,other
Coronary artery disease,31,0.0580524344569288,0.5782081703328417,0.5451163983838903,0.5544154428269095,-0.0330917719489514,-0.0237927275059322,other
Cough,256,0.4794007490636704,0.5451747976618705,0.5357323516187051,0.543263826438849,-0.0094424460431653,-0.0019109712230215,other
Cyanosis,34,0.0636704119850187,0.6254705882352941,0.5611176470588235,0.6230000000000001,-0.0643529411764706,-0.002470588235294,other
Cyst,53,0.099250936329588,0.6913662574039933,0.5656846977601695,0.6805005295571334,-0.1256815596438237,-0.0108657278468599,other
Cystitis,90,0.1685393258426966,0.4969719719719719,0.4976726726726727,0.4871121121121121,0.0007007007007007,-0.0098598598598598,other
Cystitis noninfective,88,0.1647940074906367,0.5745006114961272,0.5047136159804322,0.5323328577252344,-0.069786995515695,-0.0421677537708927,other
Deafness,105,0.196629213483146,0.5823287823287824,0.5065601065601065,0.5364635364635365,-0.0757686757686758,-0.0458652458652458,other
Decreased appetite,311,0.5823970037453183,0.6352428878347007,0.5264516315083703,0.55792827995905,-0.1087912563263304,-0.0773146078756507,other
Deep vein thrombosis,47,0.0880149812734082,0.6860063786098125,0.5898903403381537,0.662152125475119,-0.0961160382716588,-0.0238542531346934,other
Dehydration,124,0.2322097378277153,0.6073957513768686,0.4794059795436663,0.5217545239968528,-0.1279897718332022,-0.0856412273800157,other
Delirium,61,0.1142322097378277,0.6290507052992755,0.5001906214258482,0.5840987072401483,-0.1288600838734273,-0.0449519980591271,other
Delusion,56,0.1048689138576779,0.7404736999402272,0.5627615062761506,0.6761431560071727,-0.1777121936640765,-0.0643305439330544,other
Dementia,27,0.0505617977528089,0.5543867338739134,0.4294689166484038,0.4950690335305719,-0.1249178172255095,-0.0593177003433413,other
Depersonalisation,56,0.1048689138576779,0.6528317393903168,0.4820681410639569,0.6020248057381948,-0.1707635983263598,-0.0508069336521219,other
Depressed level of consciousness,72,0.1348314606741573,0.5963804713804713,0.5048100048100048,0.5361652236652237,-0.0915704665704665,-0.0602152477152476,other
Depressed mood,30,0.0561797752808988,0.3875661375661375,0.5146164021164021,0.4063492063492063,0.1270502645502645,0.0187830687830687,other
Depression,159,0.297752808988764,0.4922599580712787,0.5036142557651991,0.4959664570230608,0.0113542976939203,0.003706498951782,other
Dermatitis,445,0.8333333333333334,0.5922989521525059,0.5381643731852039,0.5628582249715945,-0.054134578967302,-0.0294407271809113,other
Dermatitis atopic,48,0.0898876404494382,0.4697788065843621,0.4918981481481481,0.4621484910836763,0.0221193415637859,-0.0076303155006858,other
Dermatitis bullous,116,0.2172284644194756,0.4434086784359016,0.4979170103943243,0.481974921630094,0.0545083319584226,0.0385662431941923,other
Dermatitis contact,75,0.1404494382022472,0.6232970225127087,0.5422222222222222,0.6049382716049383,-0.0810748002904865,-0.0183587509077703,other
