se,struct_s1,expr_s1,struct_s2,expr_s2
Cardiomyopathy,0.624665327978581,0.44818161535029005,0.6609772423025435,0.45364792503346724
Cardiovascular disorder,0.5460838537020517,0.45016949152542374,0.5114005352363961,0.4857091882247993
Cataract,0.6148438634713145,0.5287726942628903,0.6115613652868555,0.5416122004357298
Cellulitis,0.6527454027454028,0.4211344211344211,0.5573038073038074,0.49773374773374773
Cerebral haemorrhage,0.531262098335269,0.5875435540069687,0.5452477739063104,0.564847077042199
Cerebral ischaemia,0.6110718364239491,0.4709337103703301,0.6050356191201262,0.4392299744412421
Cerebrovascular accident,0.6614276619449307,0.5416202451058412,0.6683113162501989,0.5279126213592232
Cerebrovascular disorder,0.40979672501411635,0.48327216261998873,0.47811970638057594,0.5611942405420666
Cheilitis,0.6249294184076792,0.4665443252399774,0.5634528514963297,0.4700734048560136
Chest discomfort,0.5192089206816747,0.5354092152324847,0.5148748159057438,0.5581317062907637
Chest pain,0.594233026459067,0.5696689434757399,0.6027038875454301,0.5816893640490433
Chills,0.5962896993116773,0.55832628909552,0.5922744837580002,0.535880328462746
Cholecystitis,0.45126518218623485,0.4988360323886639,0.48598178137651826,0.4815789473684211
Cholelithiasis,0.6022722108611679,0.5236991592819814,0.6647580095432856,0.5825494205862305
Cholestasis,0.5631365740740741,0.5304012345679012,0.6340663580246914,0.5706790123456791
Coagulopathy,0.5830900905357939,0.4966110918715678,0.5267402166922277,0.5277791520308712
Cognitive disorder,0.6571852060982496,0.5575945793337098,0.6197769621682665,0.5665584415584416
Colitis,0.5414136302294197,0.42867183985605045,0.5536437246963563,0.45436909581646423
Coma,0.5514860219633133,0.5091108204301402,0.562102637422809,0.46597511635688865
Completed suicide,0.6668300071275838,0.5369297933000713,0.6638453314326442,0.5411172487526729
Confusional state,0.5627834467120182,0.555172902494331,0.5781179138321996,0.5502692743764173
Conjunctival hyperaemia,0.5563591204616846,0.5407261304697202,0.6183797209438235,0.5562130177514794
Conjunctivitis,0.5476210741339689,0.563316026895906,0.5622946633756065,0.5273640309813601
Connective tissue disorder,0.5416784486479246,0.5085202327623413,0.5406069084577263,0.5037280669117319
Constipation,0.6473572439830109,0.5011650542708825,0.6472835063709297,0.48625530910806986
