se,struct,expr,set
Immune system disorder,0.4881307407849219,0.5134647500894667,all
Inappropriate antidiuretic hormone secretion,0.7709236271828319,0.6056806227645698,all
Increased appetite,0.6531390272397466,0.5682633380475107,all
Infection,0.6003256003256003,0.5769721976618528,all
Infestation,0.6102331126254572,0.6108130749279075,all
Inflammation,0.6011620478812398,0.4337602287591641,all
Influenza,0.5321086807928912,0.4813397129186603,all
Influenza like illness,0.5532592272825383,0.49258040146773147,all
Injection site reaction,0.590406455469217,0.48684997011356845,all
Injury,0.5141522535033456,0.5448049488700921,all
Insomnia,0.6011518553619596,0.49077786688051317,all
Interstitial lung disease,0.7123769819573537,0.5711796063422635,all
Intestinal obstruction,0.5033031769408794,0.42369030086261306,all
Irritability,0.5842362534633838,0.5991710404793549,all
Jaundice,0.5924836143415378,0.5065464792240749,all
Jaundice cholestatic,0.5855757931844888,0.5643654524089308,all
Joint swelling,0.4438018894932722,0.4981963927855712,all
Keratitis,0.566820987654321,0.4996141975308642,all
Lacrimation increased,0.6181377009402488,0.5294712364776059,all
Laryngeal pain,0.5305484512645638,0.5119961027889417,all
Laryngitis,0.6411265432098766,0.4486496913580247,all
Lethargy,0.5247375034609078,0.5692075053777181,all
Leukocytoclastic vasculitis,0.52642427712568,0.4230174634984254,all
Leukocytosis,0.5971421831294442,0.5032184140464395,all
Leukopenia,0.6415494938132733,0.5444460067491563,all
Libido decreased,0.6099298434970318,0.47639503507825154,all
Libido increased,0.7086629091081325,0.5570975228532185,all
Liver disorder,0.48491479065853144,0.45167262781401224,all
Liver function test abnormal,0.5307239057239057,0.4727894890938369,all
Liver injury,0.5477783388033324,0.5062484221156274,all
Loss of consciousness,0.6178579494128273,0.5554426377597109,all
Lung disorder,0.5881260611205432,0.5530029711375212,all
Lymphadenopathy,0.5992734011167191,0.5605539706922196,all
Lymphopenia,0.7412241625089094,0.6155114041339985,all
Malaise,0.513758581235698,0.5216962242562929,all
Malnutrition,0.6002758303643259,0.5376106194690267,all
Mania,0.6287623066104079,0.624929676511955,all
Mediastinal disorder,0.5961342973727539,0.5452645142816235,all
Melaena,0.5970240521810029,0.48585915205870367,all
Memory impairment,0.5045203227734609,0.6034817692767482,all
Menopausal symptoms,0.5909983810037777,0.49839179708580683,all
Menorrhagia,0.5712836858881484,0.531331498116488,all
Menstrual disorder,0.6147569921154826,0.5822382614835445,all
Menstruation irregular,0.7457175485344499,0.6849203328076567,all
Mental disability,0.5465740862046378,0.5423817633957815,all
Mental disorder,0.5795722429385797,0.5366393782235367,all
Metrorrhagia,0.5951563996169805,0.574050430896904,all
Micturition urgency,0.6578590785907859,0.46423732094463804,all
Migraine,0.5517379384867829,0.5394713145098353,all
Mood swings,0.5228070175438597,0.4914786967418547,all
Mouth ulceration,0.5122665145238509,0.43256517748617074,all
Mucosal inflammation,0.7833562260218823,0.7276085823899967,all
Multiple fractures,0.7109780834116658,0.6138128926928215,all
Muscle spasms,0.5709169363538296,0.5148076231571378,all
Muscle twitching,0.6311537490532694,0.5650088361524868,all
Muscular weakness,0.5824256611658186,0.46278705333823444,all
Musculoskeletal discomfort,0.6353398058252426,0.5209061488673139,all
Musculoskeletal pain,0.5644945902488213,0.5186275311367291,all
Musculoskeletal stiffness,0.641788689724817,0.555036606917445,all
Myalgia,0.6261081809000112,0.5022584446190101,all
Mydriasis,0.8390206870373885,0.7099259821598026,all
Myocardial infarction,0.6174755686950809,0.5124579124579125,all
Myocardial ischaemia,0.6489092996555684,0.5201574544858127,all
Myoclonus,0.6734832992501705,0.5274255850942968,all
Myopathy,0.5842561983471074,0.5681818181818181,all
Nail disorder,0.5890502494654312,0.5965787598004276,all
Nasal congestion,0.602997242536866,0.5064620549094833,all
Nasopharyngitis,0.5080218968423844,0.5597901236906409,all
Nausea,0.6875220648805555,0.5492488133997568,all
Neck pain,0.4813362381989833,0.47834422657952075,all
Necrosis,0.6096579476861167,0.6024797433248137,all
Neoplasm,0.6121717504205983,0.5553361129397996,all
Neoplasm malignant,0.5822035218949664,0.6069814555088049,all
Nephrolithiasis,0.6282816028038958,0.4774037003336366,all
Nervous system disorder,0.636818616058061,0.5354255486005162,all
Nervousness,0.6369736371227483,0.5431826315161636,all
Neuralgia,0.5753042596348885,0.4659881193856853,all
Neuritis,0.5934332890491554,0.5215031315240084,all
Neuropathy peripheral,0.5798855061150143,0.5629716367421286,all
Neutropenia,0.6902269054672772,0.5801575545381092,all
Night sweats,0.518218449931413,0.4508744855967078,all
