se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain
Erectile dysfunction,175,0.32771535580524347,0.6913808197373659,0.5029048945483486,0.5548109828889773,-0.18847592518901723,-0.13656983684838853
Eructation,84,0.15730337078651685,0.5465873015873015,0.5401322751322752,0.5492857142857143,-0.006455026455026269,0.0026984126984127554
Erythema,204,0.38202247191011235,0.5345068330362448,0.49907902554961375,0.5077837195484254,-0.03542780748663105,-0.026723113487819417
Erythema multiforme,201,0.37640449438202245,0.5412576755860337,0.5192655341909073,0.5287526332302452,-0.021992141395126397,-0.01250504235578842
Erythema nodosum,27,0.05056179775280899,0.5629337424209219,0.6085177880049675,0.5560669150412739,0.04558404558404561,-0.006866827379647944
Euphoric mood,80,0.149812734082397,0.6238160792951541,0.5414922907488986,0.603248898678414,-0.08232378854625555,-0.02056718061674012
Extrapyramidal disorder,69,0.12921348314606743,0.8294841826398628,0.6574411718871747,0.7883434626772636,-0.17204301075268813,-0.04114071996259916
Extrasystoles,51,0.09550561797752809,0.46072341980270365,0.5342832785288028,0.49255064344578414,0.0735598587260991,0.03182722364308049
Extravasation,32,0.0599250936329588,0.563558266932271,0.5892056772908366,0.5948082669322708,0.02564741035856566,0.03124999999999989
Eye disorder,209,0.3913857677902622,0.5833640044166359,0.5292013249907986,0.539815973500184,-0.0541626794258373,-0.043548030916451985
Eye haemorrhage,36,0.06741573033707865,0.5345269968763945,0.4245872378402498,0.4793061133422579,-0.10993975903614467,-0.05522088353413657
Eye irritation,67,0.1254681647940075,0.5505449199399151,0.6061555179136437,0.6235098596951004,0.05561059797372869,0.07296493975518537
Eye pain,110,0.20599250936329588,0.5408876500857632,0.45724699828473414,0.4693610634648371,-0.08364065180102909,-0.07152658662092615
Eye pruritus,27,0.05056179775280899,0.637226970560304,0.6622835853605085,0.6739718021769304,0.02505661480020449,0.03674483161662645
Eyelid oedema,31,0.05805243445692884,0.6341306996729301,0.5306227153209774,0.6227153209773616,-0.10350798435195274,-0.011415378695568523
Face oedema,126,0.23595505617977527,0.6274509803921569,0.465452847805789,0.500875350140056,-0.16199813258636786,-0.12657563025210083
Faecal incontinence,33,0.06179775280898876,0.5181152845823505,0.48884050081654873,0.5097683421036715,-0.029274783765801726,-0.008346942478678954
Fatigue,339,0.6348314606741573,0.5901369034112397,0.567294455790031,0.5751304742455184,-0.022842447621208684,-0.015006429165721258
Febrile neutropenia,41,0.07677902621722846,0.7134517389798645,0.7417998317914213,0.845792311878494,0.028348092811556813,0.13234057289862955
Feeling abnormal,314,0.5880149812734082,0.6027649102489867,0.5408222350897511,0.5527214823393167,-0.06194267515923557,-0.05004342790966998
Feeling hot,39,0.07303370786516854,0.5386687386687388,0.5390831390831391,0.5727013727013728,0.0004144004144003288,0.03403263403263401
Flank pain,25,0.04681647940074907,0.5292730844793714,0.6491944990176818,0.5673870333988212,0.1199214145383104,0.03811394891944986
Flat affect,46,0.08614232209737828,0.5887829650748396,0.5095776906628653,0.5668656450463293,-0.07920527441197434,-0.021917320028510323
Flatulence,221,0.41385767790262173,0.5976175675480317,0.5236436181747214,0.5450970754485132,-0.07397394937331037,-0.05252049209951859
Fluid retention,81,0.15168539325842698,0.5048919412421987,0.5336712724497861,0.5062000926607255,0.028779331207587355,0.001308151418526804
Flushing,181,0.3389513108614232,0.603947224265569,0.5405443475811121,0.5608752132471476,-0.06340287668445688,-0.0430720110184214
Foetor hepaticus,40,0.0749063670411985,0.46351214574898786,0.3649797570850203,0.4104251012145749,-0.09853238866396757,-0.053087044534412986
Folliculitis,43,0.08052434456928839,0.7741202102969734,0.6225548240420594,0.7482593662672287,-0.151565386254914,-0.025860844029744756
Fracture,41,0.07677902621722846,0.7109780834116658,0.6138128926928215,0.6918814624251719,-0.09716519071884433,-0.019096620986493895
Fungal infection,64,0.1198501872659176,0.6379321808510638,0.6095079787234042,0.6435837765957446,-0.028424202127659615,0.005651595744680771
Fungal skin infection,29,0.054307116104868915,0.6489586889723455,0.42970297029702975,0.6044383748719699,-0.2192557186753158,-0.0445203141003756
