se,struct,expr_strongest,expr_exemplar
Eosinophilia,0.5544620118845501,0.4929966044142614,0.5357067062818337
Epigastric discomfort,0.49029007881693343,0.5027220281140814,0.45738197773624767
Epistaxis,0.6692165211325203,0.5979168170118592,0.5057612277789805
Erectile dysfunction,0.6968293886760525,0.5086845135967284,0.5752461983218559
Eructation,0.5681355681355682,0.5507825507825508,0.5271395271395272
Erythema,0.5621191756272401,0.45481630824372754,0.46223118279569886
Erythema multiforme,0.5633188744299855,0.46328550772995214,0.46186186186186196
Erythema nodosum,0.6139281426064468,0.47630922693266836,0.5282164957975433
Euphoric mood,0.6385371049828381,0.5321734327533831,0.5649189253166055
Extrapyramidal disorder,0.8022769127741504,0.5102544784865226,0.7117445169931358
Extrasystoles,0.4744995648389904,0.4424717145343777,0.5401218450826806
Extravasation,0.5869642857142858,0.6769642857142857,0.5441964285714286
Eye disorder,0.5603481757327912,0.5415229261383109,0.5001028077951155
Eye haemorrhage,0.529592803030303,0.5939078282828283,0.5332228535353536
Eye irritation,0.5274447659730834,0.5737448899912728,0.49772633319553533
Eye pain,0.5461847389558232,0.5101029116465864,0.513773845381526
Eyelid oedema,0.6224999999999999,0.5803571428571429,0.5189285714285714
Face oedema,0.6053469661414683,0.4882668454575929,0.4790758743993742
Faecal incontinence,0.4868204995246738,0.5331432028346729,0.6895687494598566
Fatigue,0.5764882465441692,0.4654416926913114,0.4830174062507565
Febrile neutropenia,0.6425009589566552,0.4883774453394707,0.6600690448791715
Feeling abnormal,0.5988245331311025,0.5301924353019245,0.5323016399658735
Feeling hot,0.5540459838757837,0.4636458644371454,0.5762914302776948
Flat affect,0.466626396858955,0.5206886137118696,0.5441860465116279
Flatulence,0.5665502010679676,0.5283362999099039,0.5952490825587272
Fluid retention,0.5503385503385504,0.452029452029452,0.5135975135975136
Flushing,0.5658052055550447,0.5117492872252368,0.474271130322818
Foetor hepaticus,0.45818298969072163,0.5926546391752577,0.4711984536082474
Folliculitis,0.7659350075802518,0.5522378221607014,0.64273943708391
Fracture,0.6730643402399128,0.4117048346055979,0.5634314794620138
Fungal infection,0.5911284426029735,0.527565196197904,0.5486229588106263
Fungal skin infection,0.6476785714285714,0.5457142857142857,0.6322321428571429
Furuncle,0.5659128978224456,0.5005862646566164,0.6051926298157453
Gait disturbance,0.6227667374107659,0.4694578429480996,0.4319120200655991
Galactorrhoea,0.8067421383647799,0.4885534591194968,0.6543396226415095
Gamma-glutamyltransferase increased,0.4992839607201309,0.4424099836333879,0.4712049918166939
Gastric ulcer,0.4846892928734361,0.4844128015483514,0.5074998271929219
Gastritis,0.6263500700799737,0.48209525379943385,0.48866353367961085
Gastroenteritis,0.5970587276225258,0.5170052499429354,0.5262334105064075
Gastrointestinal disorder,0.5878689663155457,0.5155920824169464,0.5176293552494501
Gastrointestinal haemorrhage,0.6047008547008547,0.4934413580246914,0.5465930674264008
Gastrointestinal pain,0.5973015049299429,0.5179776113870561,0.47290384757950915
Gastrooesophageal reflux disease,0.5599491417673235,0.5632973087518542,0.4709472345835982
Generalised oedema,0.5290224995273209,0.47041028549820385,0.4946744816285372
Gingival bleeding,0.5621144830989391,0.4960523069331359,0.4587342709104367
Gingivitis,0.5898236156428808,0.436515817846503,0.5312337447392065
Glaucoma,0.5338072831423896,0.4703866612111293,0.6503171031096562
Glossitis,0.48982657967032966,0.49828296703296704,0.5962396978021978
Glycosuria,0.642791911285062,0.5295933898673625,0.5099369428136551
Gout,0.655403496023576,0.48984699850631785,0.47155948488151467
Grand mal convulsion,0.6714690952523141,0.38063601074947745,0.558524932815766
Gynaecomastia,0.7118738404452689,0.5019789734075448,0.5898886827458256
Haematemesis,0.6625998959663308,0.4903295975788528,0.5331725540265759
Haematochezia,0.44144661308840416,0.6068694986605434,0.4841178721775737
Haematoma,0.5952858229073063,0.6337872399253474,0.4867629778115712
Haematuria,0.6366881846635368,0.4698014475743349,0.5370451877934272
Haemoglobin,0.619424882629108,0.5243055555555556,0.5207844287949922
Haemoglobin decreased,0.6173361522198731,0.533131984294775,0.505587435819994
Haemolytic anaemia,0.6210387902695595,0.5439184746877055,0.5891518737672584
Haemoptysis,0.6117064239943999,0.45958752894297555,0.5326584459641376
Haemorrhage,0.6031680272937735,0.49457779943950286,0.5225539173875959
Haemorrhoids,0.4528236676574272,0.5585124766710444,0.45095735121310565
Hallucination,0.6334412470023981,0.5977697841726618,0.5347961630695444
Headache,0.5864150943396226,0.4956477987421384,0.444125786163522
Hearing impaired,0.6613158402469611,0.49820567239050745,0.5364846613930156
Hepatic enzyme increased,0.5114852044729724,0.5864922691857414,0.5294497597997659
Hepatic failure,0.5377335400179489,0.48331565635963125,0.5124146746077072
